indicadores,grupos_coicop_nombre,provincias_nombre,periodos_id,IPC
Índices,General,Gipuzkoa,2005M01,84.2
Índices,General,Gipuzkoa,2006M01,87.59
Índices,General,Gipuzkoa,2007M01,89.49
Índices,General,Gipuzkoa,2008M01,93.2
Índices,General,Gipuzkoa,2009M01,94.59
Índices,General,Gipuzkoa,2010M01,95.26
Índices,General,Gipuzkoa,2011M01,98.12
Índices,General,Gipuzkoa,2012M01,100.23
Índices,General,Gipuzkoa,2013M01,102.69
Índices,General,Gipuzkoa,2014M01,103.3
Índices,General,Gipuzkoa,2015M01,102.44
Índices,General,Gipuzkoa,2016M01,102.74
Índices,General,Girona,2002M01,74.72
Índices,General,Girona,2003M01,77.83
Índices,General,Girona,2004M01,80.07
Índices,General,Girona,2005M01,82.89
Índices,General,Girona,2006M01,86.43
Índices,General,Girona,2007M01,88.39
Índices,General,Girona,2008M01,92.67
Índices,General,Girona,2009M01,93.31
Índices,General,Girona,2010M01,94.67
Índices,General,Girona,2011M01,98.26
Índices,General,Girona,2012M01,100.14
Índices,General,Girona,2013M01,102.96
Índices,General,Girona,2014M01,103.47
Índices,General,Girona,2015M01,101.74
Índices,General,Girona,2016M01,101.57
Índices,General,Granada,2002M01,77.28
Índices,General,Granada,2003M01,80.27
Índices,General,Granada,2004M01,81.86
Índices,General,Granada,2005M01,83.82
Índices,General,Granada,2006M01,87.22
Índices,General,Granada,2007M01,89.72
Índices,General,Granada,2008M01,93.55
Índices,General,Granada,2009M01,93.81
Índices,General,Granada,2010M01,94.54
Índices,General,Granada,2011M01,97.95
Índices,General,Granada,2012M01,99.79
Índices,General,Granada,2013M01,102.59
Índices,General,Granada,2014M01,102.55
Índices,General,Granada,2015M01,100.89
Índices,General,Granada,2016M01,100.5
Índices,General,Guadalajara,2002M01,77.51
Índices,General,Guadalajara,2003M01,80.53
Índices,General,Guadalajara,2004M01,82.25
Índices,General,Guadalajara,2005M01,84.53
Índices,General,Guadalajara,2006M01,88.42
Índices,General,Guadalajara,2007M01,90.26
Índices,General,Guadalajara,2008M01,94.27
Índices,General,Guadalajara,2009M01,94.6
Índices,General,Guadalajara,2010M01,95.1
Índices,General,Guadalajara,2011M01,98.36
Índices,General,Guadalajara,2012M01,100.5
Índices,General,Guadalajara,2013M01,102.8
Índices,General,Guadalajara,2014M01,102.8
Índices,General,Guadalajara,2015M01,101.13
Índices,General,Guadalajara,2016M01,100.86
Índices,General,Huelva,2002M01,77.37
Índices,General,Huelva,2003M01,80.39
Índices,General,Huelva,2004M01,82.16
Índices,General,Huelva,2005M01,84.11
Índices,General,Huelva,2006M01,87.4
Índices,General,Huelva,2007M01,90.07
Índices,General,Huelva,2008M01,94.03
Índices,General,Huelva,2009M01,94.42
Índices,General,Huelva,2010M01,95.08
Índices,General,Huelva,2011M01,98.25
Índices,General,Huelva,2012M01,99.96
Índices,General,Huelva,2013M01,102.29
Índices,General,Huelva,2014M01,103
Índices,General,Huelva,2015M01,101.51
Índices,General,Huelva,2016M01,101.02
Índices,General,Huesca,2002M01,76.7
Índices,General,Huesca,2003M01,79.01
Índices,General,Huesca,2004M01,80.65
Índices,General,Huesca,2005M01,83.31
Índices,General,Huesca,2006M01,87.15
Índices,General,Huesca,2007M01,89.39
Índices,General,Huesca,2008M01,93.58
Índices,General,Huesca,2009M01,93.79
Índices,General,Huesca,2010M01,94.68
Índices,General,Huesca,2011M01,98.16
Índices,General,Huesca,2012M01,100.56
Índices,General,Huesca,2013M01,103.12
Índices,General,Huesca,2014M01,103.14
Índices,General,Huesca,2015M01,101.09
Índices,General,Huesca,2016M01,100.88
Índices,General,Jaén,2002M01,77.28
Índices,General,Jaén,2003M01,80.32
Índices,General,Jaén,2004M01,81.97
Índices,General,Jaén,2005M01,84.57
Índices,General,Jaén,2006M01,87.59
Índices,General,Jaén,2007M01,89.93
Índices,General,Jaén,2008M01,93.71
Índices,General,Jaén,2009M01,94.28
Índices,General,Jaén,2010M01,95.12
Índices,General,Jaén,2011M01,98.36
Índices,General,Jaén,2012M01,100.01
Índices,General,Jaén,2013M01,102.2
Índices,General,Jaén,2014M01,102.19
Índices,General,Jaén,2015M01,100.71
Índices,General,Jaén,2016M01,100.29
Índices,General,León,2002M01,76.42
Índices,General,León,2003M01,79.35
Índices,General,León,2004M01,80.48
Índices,General,León,2005M01,83.16
Índices,General,León,2006M01,86.52
Índices,General,León,2007M01,88.62
Índices,General,León,2008M01,92.99
Índices,General,León,2009M01,93.04
Índices,General,León,2010M01,94.31
Índices,General,León,2011M01,97.96
Índices,General,León,2012M01,100.28
Índices,General,León,2013M01,103.27
Índices,General,León,2014M01,103.83
Índices,General,León,2015M01,101.54
Índices,General,León,2016M01,100.6
Índices,General,Lleida,2002M01,75.51
Índices,General,Lleida,2003M01,78.74
Índices,General,Lleida,2004M01,80.76
Índices,General,Lleida,2005M01,83.2
Índices,General,Lleida,2006M01,87.08
Índices,General,Lleida,2007M01,88.85
Índices,General,Lleida,2008M01,92.99
Índices,General,Lleida,2009M01,93.54
Índices,General,Lleida,2010M01,94.59
Índices,General,Lleida,2011M01,97.9
Índices,General,Lleida,2012M01,100.43
Índices,General,Lleida,2013M01,103.19
Índices,General,Lleida,2014M01,103.38
Índices,General,Lleida,2015M01,101.8
Índices,General,Lleida,2016M01,101.53
Índices,General,Lugo,2002M01,77.4
Índices,General,Lugo,2003M01,80.45
Índices,General,Lugo,2004M01,82.14
Índices,General,Lugo,2005M01,84.33
Índices,General,Lugo,2006M01,88.07
Índices,General,Lugo,2007M01,89.86
Índices,General,Lugo,2008M01,93.82
Índices,General,Lugo,2009M01,93.92
Índices,General,Lugo,2010M01,94.99
Índices,General,Lugo,2011M01,98.07
Índices,General,Lugo,2012M01,100.38
Índices,General,Lugo,2013M01,103.08
Índices,General,Lugo,2014M01,103.56
Índices,General,Lugo,2015M01,101.84
Índices,General,Lugo,2016M01,101.64
Índices,General,Madrid,2002M01,77.16
Índices,General,Madrid,2003M01,79.97
Índices,General,Madrid,2004M01,81.9
Índices,General,Madrid,2005M01,84.24
Índices,General,Madrid,2006M01,87.7
Índices,General,Madrid,2007M01,89.87
Índices,General,Madrid,2008M01,93.48
Índices,General,Madrid,2009M01,94.37
Índices,General,Madrid,2010M01,95.45
Índices,General,Madrid,2011M01,98.42
Índices,General,Madrid,2012M01,100.42
Índices,General,Madrid,2013M01,102.85
Índices,General,Madrid,2014M01,103.03
Índices,General,Madrid,2015M01,101.74
Índices,General,Madrid,2016M01,101.5
Índices,General,Málaga,2002M01,76.71
Índices,General,Málaga,2003M01,79.54
Índices,General,Málaga,2004M01,81.44
Índices,General,Málaga,2005M01,84.08
Índices,General,Málaga,2006M01,87.66
Índices,General,Málaga,2007M01,89.66
Índices,General,Málaga,2008M01,93.36
Índices,General,Málaga,2009M01,93.8
Índices,General,Málaga,2010M01,94.86
Índices,General,Málaga,2011M01,98.17
Índices,General,Málaga,2012M01,100.07
Índices,General,Málaga,2013M01,102.46
Índices,General,Málaga,2014M01,102.47
Índices,General,Málaga,2015M01,101.31
Índices,General,Málaga,2016M01,101.16
Índices,General,Murcia,2002M01,75.79
Índices,General,Murcia,2003M01,79.12
Índices,General,Murcia,2004M01,81.44
Índices,General,Murcia,2005M01,83.78
Índices,General,Murcia,2006M01,87.66
Índices,General,Murcia,2007M01,89.89
Índices,General,Murcia,2008M01,93.83
Índices,General,Murcia,2009M01,94.21
Índices,General,Murcia,2010M01,95.08
Índices,General,Murcia,2011M01,98.24
Índices,General,Murcia,2012M01,100.06
Índices,General,Murcia,2013M01,102.85
Índices,General,Murcia,2014M01,103.04
Índices,General,Murcia,2015M01,101.4
Índices,General,Murcia,2016M01,101.22
Índices,General,Navarra,2002M01,77.6
Índices,General,Navarra,2003M01,80.47
Índices,General,Navarra,2004M01,82.34
Índices,General,Navarra,2005M01,84.86
Índices,General,Navarra,2006M01,88.45
Índices,General,Navarra,2007M01,90.02
Índices,General,Navarra,2008M01,93.8
Índices,General,Navarra,2009M01,94.63
Índices,General,Navarra,2010M01,95.12
Índices,General,Navarra,2011M01,98
Índices,General,Navarra,2012M01,100.23
Índices,General,Navarra,2013M01,103
Índices,General,Navarra,2014M01,102.59
Índices,General,Navarra,2015M01,101.12
Índices,General,Navarra,2016M01,101.05
Índices,General,Ourense,2002M01,78.15
Índices,General,Ourense,2003M01,80.78
Índices,General,Ourense,2004M01,82.51
Índices,General,Ourense,2005M01,84.98
Índices,General,Ourense,2006M01,88.4
Índices,General,Ourense,2007M01,89.95
Índices,General,Ourense,2008M01,93.95
Índices,General,Ourense,2009M01,94.23
Índices,General,Ourense,2010M01,95.23
Índices,General,Ourense,2011M01,98.31
Índices,General,Ourense,2012M01,100.41
Índices,General,Ourense,2013M01,103.04
Índices,General,Ourense,2014M01,103.51
Índices,General,Ourense,2015M01,101.73
Índices,General,Ourense,2016M01,101.12
Índices,General,Palencia,2002M01,78.9
Índices,General,Palencia,2003M01,81.19
Índices,General,Palencia,2004M01,82.33
Índices,General,Palencia,2005M01,84.47
Índices,General,Palencia,2006M01,88.21
Índices,General,Palencia,2007M01,90.02
Índices,General,Palencia,2008M01,93.78
Índices,General,Palencia,2009M01,94.48
Índices,General,Palencia,2010M01,95.21
Índices,General,Palencia,2011M01,98.38
Índices,General,Palencia,2012M01,100.42
Índices,General,Palencia,2013M01,103.52
Índices,General,Palencia,2014M01,103.66
Índices,General,Palencia,2015M01,102.17
Índices,General,Palencia,2016M01,101.51
Índices,General,Palmas (Las),2002M01,81.09
Índices,General,Palmas (Las),2003M01,83.65
Índices,General,Palmas (Las),2004M01,85.2
Índices,General,Palmas (Las),2005M01,87.1
Índices,General,Palmas (Las),2006M01,90.03
Índices,General,Palmas (Las),2007M01,91.62
Índices,General,Palmas (Las),2008M01,95.38
Índices,General,Palmas (Las),2009M01,96.05
Índices,General,Palmas (Las),2010M01,96.22
Índices,General,Palmas (Las),2011M01,98.64
Índices,General,Palmas (Las),2012M01,100
Índices,General,Palmas (Las),2013M01,102.05
Índices,General,Palmas (Las),2014M01,101.66
Índices,General,Palmas (Las),2015M01,100.48
Índices,General,Palmas (Las),2016M01,99.83
Índices,General,Pontevedra,2002M01,77.15
Índices,General,Pontevedra,2003M01,80.24
Índices,General,Pontevedra,2004M01,81.83
Índices,General,Pontevedra,2005M01,84.24
Índices,General,Pontevedra,2006M01,87.97
Índices,General,Pontevedra,2007M01,89.72
Índices,General,Pontevedra,2008M01,93.77
Índices,General,Pontevedra,2009M01,93.78
Índices,General,Pontevedra,2010M01,94.85
Índices,General,Pontevedra,2011M01,98.02
Índices,General,Pontevedra,2012M01,100.22
Índices,General,Pontevedra,2013M01,102.65
Índices,General,Pontevedra,2014M01,103.19
Índices,General,Pontevedra,2015M01,101.74
Índices,General,Pontevedra,2016M01,101.23
Índices,General,Rioja (La),2002M01,76.22
Índices,General,Rioja (La),2003M01,79.01
Índices,General,Rioja (La),2004M01,80.8
Índices,General,Rioja (La),2005M01,83.4
Índices,General,Rioja (La),2006M01,87.18
Índices,General,Rioja (La),2007M01,89.52
Índices,General,Rioja (La),2008M01,93.28
Índices,General,Rioja (La),2009M01,94.04
Índices,General,Rioja (La),2010M01,94.68
Índices,General,Rioja (La),2011M01,97.94
Índices,General,Rioja (La),2012M01,100.09
Índices,General,Rioja (La),2013M01,102.73
Índices,General,Rioja (La),2014M01,102.75
Índices,General,Rioja (La),2015M01,101.56
Índices,General,Rioja (La),2016M01,101.39
Índices,General,Salamanca,2002M01,78.52
Índices,General,Salamanca,2003M01,81.09
Índices,General,Salamanca,2004M01,82.42
Índices,General,Salamanca,2005M01,84.97
Índices,General,Salamanca,2006M01,88.6
Índices,General,Salamanca,2007M01,90.68
Índices,General,Salamanca,2008M01,94.38
Índices,General,Salamanca,2009M01,94.44
Índices,General,Salamanca,2010M01,95.16
Índices,General,Salamanca,2011M01,98.46
Índices,General,Salamanca,2012M01,100.59
Índices,General,Salamanca,2013M01,103.41
Índices,General,Salamanca,2014M01,103.59
Índices,General,Salamanca,2015M01,101.48
Índices,General,Salamanca,2016M01,100.84
Índices,General,Santa Cruz de Tenerife,2002M01,81.54
Índices,General,Santa Cruz de Tenerife,2003M01,83.62
Índices,General,Santa Cruz de Tenerife,2004M01,84.95
Índices,General,Santa Cruz de Tenerife,2005M01,87.05
Índices,General,Santa Cruz de Tenerife,2006M01,89.59
Índices,General,Santa Cruz de Tenerife,2007M01,91.53
Índices,General,Santa Cruz de Tenerife,2008M01,95.44
Índices,General,Santa Cruz de Tenerife,2009M01,96.08
Índices,General,Santa Cruz de Tenerife,2010M01,96.26
Índices,General,Santa Cruz de Tenerife,2011M01,98.61
Índices,General,Santa Cruz de Tenerife,2012M01,99.92
Índices,General,Santa Cruz de Tenerife,2013M01,102.49
Índices,General,Santa Cruz de Tenerife,2014M01,102.42
Índices,General,Santa Cruz de Tenerife,2015M01,100.78
Índices,General,Santa Cruz de Tenerife,2016M01,99.97
Índices,General,Segovia,2002M01,76.64
Índices,General,Segovia,2003M01,79.44
Índices,General,Segovia,2004M01,80.99
Índices,General,Segovia,2005M01,83.37
Índices,General,Segovia,2006M01,87.1
Índices,General,Segovia,2007M01,88.94
Índices,General,Segovia,2008M01,93.2
Índices,General,Segovia,2009M01,93.64
Índices,General,Segovia,2010M01,94.77
Índices,General,Segovia,2011M01,98.26
Índices,General,Segovia,2012M01,100.5
Índices,General,Segovia,2013M01,103.1
Índices,General,Segovia,2014M01,103.35
Índices,General,Segovia,2015M01,101.51
Índices,General,Segovia,2016M01,101.47
Índices,General,Sevilla,2002M01,76.9
Índices,General,Sevilla,2003M01,79.56
Índices,General,Sevilla,2004M01,81.22
Índices,General,Sevilla,2005M01,83.86
Índices,General,Sevilla,2006M01,87.1
Índices,General,Sevilla,2007M01,89.58
Índices,General,Sevilla,2008M01,93.31
Índices,General,Sevilla,2009M01,94.09
Índices,General,Sevilla,2010M01,95.02
Índices,General,Sevilla,2011M01,98.43
Índices,General,Sevilla,2012M01,99.88
Índices,General,Sevilla,2013M01,102.3
Índices,General,Sevilla,2014M01,102.45
Índices,General,Sevilla,2015M01,100.99
Índices,General,Sevilla,2016M01,100.68
Índices,General,Soria,2002M01,77.4
Índices,General,Soria,2003M01,80.1
Índices,General,Soria,2004M01,81.23
Índices,General,Soria,2005M01,83.45
Índices,General,Soria,2006M01,86.84
Índices,General,Soria,2007M01,89.15
Índices,General,Soria,2008M01,93.43
Índices,General,Soria,2009M01,94.04
Índices,General,Soria,2010M01,95.22
Índices,General,Soria,2011M01,98.16
Índices,General,Soria,2012M01,100.06
Índices,General,Soria,2013M01,102.78
Índices,General,Soria,2014M01,102.86
Índices,General,Soria,2015M01,100.86
Índices,General,Soria,2016M01,100.42
