[TIEMPO],[GENERAL Y GRUPOS ECOICOP],[Measures].[IPC La Rioja],[Measures].[Var (%) mensual (La Rioja)],[Measures].[Var (%) anual (La Rioja)],[Measures].[Var (%) en lo que va de año (La Rioja)]
[TIEMPO].[2023].[Junio (2023)],"[GENERAL Y GRUPOS ECOICOP].[04 Vivienda, agua, electricidad, gas y otros combustibles]", 103,699, 0,9,-14,7,-6,0
[TIEMPO].[2023].[Junio (2023)],"[GENERAL Y GRUPOS ECOICOP].[05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar]", 112,285, 0,3, 5,7, 2,2
[TIEMPO].[2023].[Junio (2023)],[GENERAL Y GRUPOS ECOICOP].[06 Sanidad], 103,075,-0,1, 0,6, 0,7
[TIEMPO].[2023].[Junio (2023)],[GENERAL Y GRUPOS ECOICOP].[07 Transporte], 110,594, 0,7,-6,9, 2,8
[TIEMPO].[2023].[Junio (2023)],[GENERAL Y GRUPOS ECOICOP].[08 Comunicaciones], 102,152,-0,3, 2,3, 4,7
[TIEMPO].[2023].[Junio (2023)],[GENERAL Y GRUPOS ECOICOP].[09 Ocio y cultura], 108,917, 2,8, 6,1, 3,2
[TIEMPO].[2023].[Junio (2023)],[GENERAL Y GRUPOS ECOICOP].[10 Enseñanza], 101,102, 0,0, 4,0, 0,3
[TIEMPO].[2023].[Junio (2023)],[GENERAL Y GRUPOS ECOICOP].[11 Restaurantes y hoteles], 114,149, 0,0, 6,9, 4,1
[TIEMPO].[2023].[Junio (2023)],[GENERAL Y GRUPOS ECOICOP].[12 Otros bienes y servicios], 110,099, 0,5, 5,1, 3,2
[TIEMPO].[2023].[Mayo (2023)],[GENERAL Y GRUPOS ECOICOP].[00 Índice general], 112,191,-0,2, 3,0, 1,5
[TIEMPO].[2023].[Mayo (2023)],[GENERAL Y GRUPOS ECOICOP].[01 Alimentos y bebidas no alcohólicas], 122,538, 0,2, 11,9, 4,3
[TIEMPO].[2023].[Mayo (2023)],[GENERAL Y GRUPOS ECOICOP].[02 Bebidas alcohólicas y tabaco], 112,724, 0,4, 9,1, 4,3
[TIEMPO].[2023].[Mayo (2023)],[GENERAL Y GRUPOS ECOICOP].[03 Vestido y calzado], 116,589, 0,6,-0,1,-0,7
[TIEMPO].[2023].[Mayo (2023)],"[GENERAL Y GRUPOS ECOICOP].[04 Vivienda, agua, electricidad, gas y otros combustibles]", 102,736,-0,4,-12,3,-6,8
[TIEMPO].[2023].[Mayo (2023)],"[GENERAL Y GRUPOS ECOICOP].[05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar]", 111,948,-0,1, 5,9, 1,8
[TIEMPO].[2023].[Mayo (2023)],[GENERAL Y GRUPOS ECOICOP].[06 Sanidad], 103,226,-0,1, 1,0, 0,8
[TIEMPO].[2023].[Mayo (2023)],[GENERAL Y GRUPOS ECOICOP].[07 Transporte], 109,823,-1,7,-2,8, 2,0
[TIEMPO].[2023].[Mayo (2023)],[GENERAL Y GRUPOS ECOICOP].[08 Comunicaciones], 102,446, 0,0, 2,5, 5,0
[TIEMPO].[2023].[Mayo (2023)],[GENERAL Y GRUPOS ECOICOP].[09 Ocio y cultura], 105,956,-0,5, 4,8, 0,4
[TIEMPO].[2023].[Mayo (2023)],[GENERAL Y GRUPOS ECOICOP].[10 Enseñanza], 101,102, 0,0, 4,0, 0,3
[TIEMPO].[2023].[Mayo (2023)],[GENERAL Y GRUPOS ECOICOP].[11 Restaurantes y hoteles], 114,195, 0,6, 7,5, 4,1
[TIEMPO].[2023].[Mayo (2023)],[GENERAL Y GRUPOS ECOICOP].[12 Otros bienes y servicios], 109,508, 0,1, 5,1, 2,7
[TIEMPO].[2023].[Abril (2023)],[GENERAL Y GRUPOS ECOICOP].[00 Índice general], 112,369, 0,6, 4,1, 1,7
[TIEMPO].[2023].[Abril (2023)],[GENERAL Y GRUPOS ECOICOP].[01 Alimentos y bebidas no alcohólicas], 122,309, 0,4, 12,7, 4,1
[TIEMPO].[2023].[Abril (2023)],[GENERAL Y GRUPOS ECOICOP].[02 Bebidas alcohólicas y tabaco], 112,277, 0,2, 8,2, 3,9
[TIEMPO].[2023].[Abril (2023)],[GENERAL Y GRUPOS ECOICOP].[03 Vestido y calzado], 115,842, 11,7, 3,3,-1,4
[TIEMPO].[2023].[Abril (2023)],"[GENERAL Y GRUPOS ECOICOP].[04 Vivienda, agua, electricidad, gas y otros combustibles]", 103,17,-2,8,-12,8,-6,5
[TIEMPO].[2023].[Abril (2023)],"[GENERAL Y GRUPOS ECOICOP].[05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar]", 112,033, 0,9, 7,2, 1,9
[TIEMPO].[2023].[Abril (2023)],[GENERAL Y GRUPOS ECOICOP].[06 Sanidad], 103,321, 0,1, 1,5, 0,9
[TIEMPO].[2023].[Abril (2023)],[GENERAL Y GRUPOS ECOICOP].[07 Transporte], 111,748, 0,4, 2,2, 3,8
[TIEMPO].[2023].[Abril (2023)],[GENERAL Y GRUPOS ECOICOP].[08 Comunicaciones], 102,496, 0,6, 2,4, 5,1
[TIEMPO].[2023].[Abril (2023)],[GENERAL Y GRUPOS ECOICOP].[09 Ocio y cultura], 106,526, 1,3, 4,5, 0,9
[TIEMPO].[2023].[Abril (2023)],[GENERAL Y GRUPOS ECOICOP].[10 Enseñanza], 101,102, 0,0, 4,0, 0,3
[TIEMPO].[2023].[Abril (2023)],[GENERAL Y GRUPOS ECOICOP].[11 Restaurantes y hoteles], 113,527, 1,2, 7,9, 3,5
[TIEMPO].[2023].[Abril (2023)],[GENERAL Y GRUPOS ECOICOP].[12 Otros bienes y servicios], 109,447, 0,4, 5,9, 2,6
[TIEMPO].[2023].[Marzo (2023)],[GENERAL Y GRUPOS ECOICOP].[00 Índice general], 111,718, 0,3, 3,6, 1,1
[TIEMPO].[2023].[Marzo (2023)],[GENERAL Y GRUPOS ECOICOP].[01 Alimentos y bebidas no alcohólicas], 121,861, 1,3, 16,5, 3,7
[TIEMPO].[2023].[Marzo (2023)],[GENERAL Y GRUPOS ECOICOP].[02 Bebidas alcohólicas y tabaco], 112,025, 0,8, 8,6, 3,7
